artemidos peos
perimulicus sinus
sinus perimulicus
persicus sinus
sinus persicus
petras major
major petras
petras minor
minor petras
petronii vicus
vicus petronii
philippi prom
prom philippi
phoenicius mons
mons phoenicius
phoenicus portus
portus phoenicus
phrygia pisidica
pisidica phrygia
phthenotes nomos
nomos phthenotes
pictonium promontorium
promontorium pictonium
pintuaria ins
ins pintuaria
pisanus portus
portus pisanus
pithecusae insulae
insulae pithecusae
planaria ins
ins planaria
platea ins
ins platea
plinthineticus sinus
sinus plinthineticus
plotae insulae
insulae plotae
poeninae alpes
alpes poeninae
pompeii praesidium
praesidium pompeii
pomponianis portus
portus pomponianis
pomptinae paludes
paludes pomptinae
pons aeni
aeni pons
pons aerarius
aerarius pons
pons aluti
aluti pons
pons aufidi
aufidi pons
pons augusti
augusti pons
pons aureoli
aureoli pons
pons campanus
campanus pons
pons dubis
dubis pons
pons mansuetina
mansuetina pons
pons milvius
milvius pons
pons mosae
mosae pons
pons nartiae
nartiae pons
pons nerviae
nerviae pons
pons nomentanus
nomentanus pons
pons salarius
salarius pons
pons saravi
saravi pons
pons scaldis
scaldis pons
pons servilii
servilii pons
pons tiluri
tiluri pons
pons ucasi
ucasi pons
pons zitha
zitha pons
pontes tessenii
tessenii pontes
po ntia
ntia po
porphyrites mons
mons porphyrites
porta augusta
augusta porta
portus abucini
abucini portus
portus achaeorum
achaeorum portus
portus aemines
aemines portus
portus aepatiaci
aepatiaci portus
portus agasus
agasus portus
portus alburnus
alburnus portus
portus augusti
augusti portus
portus cosanus
cosanus portus
portus delphini
delphini portus
portus ericis
ericis portus
portus garnae
garnae portus
portus hannibalis
hannibalis portus
liburni portus herculis
monoeci portus herculis
portus julius
julius portus
portus mauritii
mauritii portus
portus olivula
olivula portus
portus symbolon
symbolon portus
portus telamonis
telamonis portus
portus trajani
trajani portus
portus veneris
veneris portus
praetorium agrippinae
agrippinae praetorium
praetorium latovicorum
latovicorum praetorium
prasias lacus
lacus prasias
prasodes sinus
sinus prasodes
prasum promontorium
promontorium prasum
prelius lacus
lacus prelius
priapi portus
portus priapi
primis magna
magna primis
prionotus mons
mons prionotus
ptolemais cyrenaicae
cyrenaicae ptolemais
ptolemais phoeniciae
phoeniciae ptolemais
pulchrum prom
prom pulchrum
purpurariae ins
ins purpurariae
puteolanus sinus
sinus puteolanus
pylae syriae
syriae pylae
pyrenaei montes
montes pyrenaei
pyrenaei portus
portus pyrenaei
pyrenes promontorium
promontorium pyrenes
quartensis locus
locus quartensis
quintiana castra
castra quintiana
regillus lacus
lacus regillus
regis villa
villa regis
regium lepidi
lepidi regium
reii apollinares
apollinares reii
rephaim vallis
vallis rephaim
rerigonius sinus
sinus rerigonius
rhapsii aethiopes
aethiopes rhapsii
rhaptum promontorium
promontorium rhaptum
rhaptus fluvius
fluvius rhaptus
rhipaei montes
montes rhipaei
rhizonicus sinus
sinus rhizonicus
rhizophagi aethiopes
aethiopes rhizophagi
